वक्रतुंड	JJ
महाकाय	NNP
कोटिसूर्यसमप्रभ	NNP
।	NNP
निर्विघ्नं	NNP
कुरु	NNP
मे	NNP
देव	NNP
सर्वकार्येषु	NNP
सर्वदा	NNP
॥	NNP
या	NNP
कुन्देन्दु	NNP
तुषार्	NNP
हार	NNP
धवला	NNP
या	NNP
शुभ्रवस्त्रावृता	NNP
।	NNP
या	NNP
वीणावरदंड	NNP
मंडितकरा	NNP
या	NNP
श्वेतपद्मासना	NNP
।	NNP
या	NNP
ब्रह्माच्युतशंकरप्रभ्रुतिभिर्देवै	NNP
सदा	NNP
वंदिता	NNP
।	NNP
सा	NNP
मां	NNP
पातु	NNP
सरस्वती	NNP
भगवती	NNP
निःशेष	NNP
जाड्या	NNP
पहा	NNP
॥	NNP
गुरुर्ब्रह्मा	NNP
गुरुर्विष्णुः	NNP
गुरुर्देवो	NNP
महेश्वरः	NNP
।	NNP
गुरुः	NNP
साक्षात्परब्रह्म	NNP
तस्मै	NNP
श्री	NNP
गुरवेनमः	NNP
॥	NNP
कराग्रे	NNP
वसते	NNP
लक्ष्मीः	NNP
करमध्ये	NNP
सरस्वती	NNP
।	NNP
करमूले	NNP
तु	NNP
गोविन्दः	NNP
प्रभाते	NNP
करदर्शनं	NNP
॥	NNP
समुद्रवसने	NNP
देवि	NNP
पर्वतस्तनमण्डले	NNP
।	NNP
विष्णुपत्नि	NNP
नमस्तुभ्यं	NNP
पादस्पर्शं	NNP
क्षमस्व	NNP
मे	NNP
॥	NNP
शांताकारं	NNP
भुजगशयनं	NNP
पद्मनाभं	NNP
सुरेशं	NNP
।	NNP
विश्वाधारं	NNP
गगनसदृशं	NNP
मेघवर्णं	NNP
शुभाङ्गं	NNP
।	NNP
लक्ष्मीकांतं	NNP
कमलनयनं	NNP
योगिभिर्ध्यानगम्यं	NNP
।	NNP
वंदे	NNP
विष्णुं	NNP
भवभयहरं	NNP
सर्वलोकैकनाथम्	NNP
॥	NNP
सर्वेऽपि	NNP
सुखिनः	NNP
सन्तु	NNP
सर्वे	NNP
सन्तु	NNP
निरामयाः	NNP
।	NNP
सर्वे	NNP
भद्राणि	NNP
पश्यन्तु	NNP
मा	NNP
कश्चित्दुःखभाग्भवेत्	NNP
॥	NNP
या	NNP
देवी	NNP
सर्वभूतेषु	NNP
मातृरुपेण	NNP
संस्थितः	NNP
।	NNP
या	NNP
देवी	NNP
सर्वभूतेषु	NNP
शक्तिरुपेण	NNP
संस्थितः	NNP
।	NNP
या	NNP
देवी	NNP
सर्वभूतेषु	NNP
शान्तिरुपेण	NNP
संस्थितः	NNP
।	NNP
